Date,Open,High,Low,Close,Adj Close,Volume
2021-05-17,484.000000,499.510010,468.880005,489.350006,489.350006,804600
2021-05-18,488.910004,504.260010,470.570007,487.200012,487.200012,598200
2021-05-19,422.850006,458.489990,411.579987,454.859985,454.859985,1505400
2021-05-20,477.660004,493.000000,457.279999,472.660004,472.660004,861400
2021-05-21,471.730011,487.670013,447.769989,450.519989,450.519989,853000
2021-05-24,465.000000,478.260010,447.250000,472.450012,472.450012,757500
2021-05-25,464.000000,479.880005,458.209991,469.670013,469.670013,672200
2021-05-26,477.339996,495.989990,476.540009,482.790009,482.790009,542600
2021-05-27,492.000000,502.059998,485.070007,493.850006,493.850006,503900
2021-05-28,482.000000,482.920013,467.640015,470.000000,470.000000,477500
2021-06-01,471.239990,484.660004,468.980011,477.760010,477.760010,432500
2021-06-02,483.000000,501.299988,478.720001,498.500000,498.500000,352700
2021-06-03,501.200012,501.980011,484.000000,488.640015,488.640015,395500
2021-06-04,481.700012,485.989990,474.000000,484.670013,484.670013,317200
2021-06-07,482.500000,488.549988,464.070007,469.809998,469.809998,610400
2021-06-08,458.000000,461.890015,427.929993,459.380005,459.380005,1091700
2021-06-09,470.000000,515.669983,455.589996,512.989990,512.989990,1482200
2021-06-10,512.390015,529.869995,495.910004,508.649994,508.649994,953700
2021-06-11,513.000000,520.969971,504.000000,516.440002,516.440002,500400
2021-06-14,544.000000,605.690002,544.000000,598.489990,598.489990,1557300
2021-06-15,602.049988,635.820007,589.169983,630.539978,630.539978,1310000
2021-06-16,616.650024,639.880005,608.840027,619.820007,619.820007,1039500
2021-06-17,617.400024,642.000000,612.549988,630.809998,630.809998,884800
2021-06-18,616.000000,647.650024,615.520020,646.460022,646.460022,1543700
2021-06-21,599.169983,614.000000,577.000000,583.669983,583.669983,1378100
2021-06-22,535.010010,564.200012,513.020020,553.719971,553.719971,2567000
2021-06-23,579.479980,586.559998,551.229980,553.000000,553.000000,1055800
2021-06-24,570.000000,590.000000,561.000000,581.880005,581.880005,793500
2021-06-25,567.460022,571.210022,539.809998,550.049988,550.049988,1004700
2021-06-28,570.330017,629.510010,565.869995,624.169983,624.169983,1729800
2021-06-29,650.000000,692.989990,647.000000,668.989990,668.989990,1613600
2021-06-30,645.010010,669.000000,637.429993,664.500000,664.500000,858900
2021-07-01,650.590027,657.239990,637.119995,650.859985,650.859985,587400
2021-07-02,658.969971,661.919983,634.260010,635.609985,635.609985,527600
2021-07-06,652.080017,653.520020,621.289978,634.289978,634.289978,486200
2021-07-07,645.000000,647.169983,623.210022,639.859985,639.859985,451100
2021-07-08,603.000000,625.270020,594.690002,618.440002,618.440002,518000
2021-07-09,621.900024,635.929993,615.200012,628.659973,628.659973,394000
2021-07-12,632.250000,632.419983,585.210022,588.690002,588.690002,826300
2021-07-13,585.570007,597.000000,572.950012,579.880005,579.880005,717600
2021-07-14,585.000000,590.440002,560.409973,560.429993,560.429993,627500
2021-07-15,547.000000,559.950012,525.070007,541.039978,541.039978,733800
2021-07-16,543.900024,546.380005,520.520020,523.090027,523.090027,609100
2021-07-19,507.660004,522.489990,492.000000,498.720001,498.720001,728700
2021-07-20,487.989990,505.880005,472.380005,501.779999,501.779999,734500
2021-07-21,540.000000,569.809998,528.270020,556.940002,556.940002,1099400
2021-07-22,555.419983,568.059998,535.010010,555.940002,555.940002,711200
2021-07-23,558.419983,565.890015,533.390015,539.710022,539.710022,574900
2021-07-26,621.000000,695.000000,620.260010,682.500000,682.500000,2016900
2021-07-27,663.750000,677.510010,622.270020,630.609985,630.609985,969900
2021-07-28,663.950012,677.000000,632.200012,646.650024,646.650024,1082500
2021-07-29,641.929993,648.599976,619.369995,625.010010,625.010010,579500
2021-07-30,615.570007,635.479980,606.909973,626.010010,626.010010,618200
2021-08-02,622.590027,659.000000,615.090027,637.789978,637.789978,1255100
2021-08-03,634.619995,634.619995,605.130005,625.059998,625.059998,844400
2021-08-04,630.280029,675.000000,630.010010,670.929993,670.929993,1001500
2021-08-05,643.590027,729.679993,633.700012,715.619995,715.619995,1166500
2021-08-06,720.000000,750.989990,701.299988,748.719971,748.719971,1310500
2021-08-09,796.309998,798.000000,762.700012,767.729980,767.729980,1421300
2021-08-10,766.630005,777.020020,744.179993,750.489990,750.489990,796700
2021-08-11,762.239990,770.880005,740.109985,747.489990,747.489990,728300
2021-08-12,724.719971,730.799988,712.400024,720.989990,720.989990,719200
2021-08-13,745.000000,753.890015,726.099976,728.000000,728.000000,653000
2021-08-16,740.000000,741.000000,692.210022,697.510010,697.510010,666300
2021-08-17,691.070007,700.000000,657.479980,663.690002,663.690002,661500
2021-08-18,659.119995,678.000000,652.679993,655.049988,655.049988,547300
2021-08-19,646.340027,678.599976,641.429993,676.260010,676.260010,672700
2021-08-20,686.169983,727.989990,683.010010,716.559998,716.559998,979300
2021-08-23,741.900024,747.780029,710.059998,718.510010,718.510010,813800
2021-08-24,717.929993,717.929993,691.219971,715.500000,715.500000,811400
2021-08-25,714.650024,735.099976,705.000000,726.710022,726.710022,664900
2021-08-26,712.000000,714.500000,691.549988,693.659973,693.659973,571500
2021-08-27,699.500000,721.090027,695.049988,707.200012,707.200012,809100
